portfolio_id,date,portfolio_value,return_percentage,benchmark_return,net_inflows,net_outflows
3617,2023-12-26,177327.66,14.07,12.65,13983.9,8613.61
6750,2024-06-10,100862.06,-2.94,-3.22,5304.79,1309.79
4566,2023-02-19,415069.51,0.55,0.5,8146.28,12055.95
9044,2024-06-02,9991.92,19.85,19.59,8202.11,1254.28
2142,2023-09-27,194841.39,17.88,20.15,5746.22,12233.22
2461,2024-06-15,67794.75,-4.92,-4.21,12073.77,12414.66
3758,2023-09-05,498884.43,13.0,12.0,8120.1,16322.03
2131,2024-02-21,289089.71,12.38,14.32,6119.99,10410.51
4157,2024-09-07,74592.43,-7.31,-6.89,5470.27,19033.86
5227,2024-02-22,418219.97,13.74,15.21,434.7,9099.31
6297,2024-09-25,477085.86,10.43,9.2,1004.27,13134.15
5968,2023-03-08,119098.23,17.2,18.19,11504.16,19367.24
9353,2024-09-10,161986.08,14.54,15.07,13735.41,14343.57
6906,2023-03-06,241684.17,3.0,3.36,17236.39,4074.04
9566,2022-12-17,33583.81,-4.24,-4.46,9308.34,10250.49
3778,2023-01-27,406528.28,-5.47,-5.37,11168.75,16563.79
4390,2024-03-07,65062.92,12.19,12.3,4551.29,14871.4
6416,2024-03-03,120056.34,-5.96,-6.56,19812.01,7764.43
1787,2023-04-11,112820.07,2.06,2.44,14759.74,19482.4
5663,2023-08-14,64612.18,9.58,8.36,3428.58,704.58
3725,2023-04-09,317587.35,3.06,3.35,11415.29,6963.77
9730,2024-06-20,94759.9,-9.97,-10.42,19708.87,11777.2
5044,2023-11-14,121685.17,12.34,12.7,10701.91,5074.03
4119,2023-08-09,103772.14,-1.67,-1.87,4794.86,2821.63
5792,2023-09-19,471027.94,8.34,7.63,3725.59,6831.35
1763,2024-08-23,226278.21,18.23,18.17,9472.25,10514.85
1666,2023-11-11,57725.23,6.55,7.01,19220.8,6572.12
8503,2024-08-09,322800.13,11.19,13.34,13130.31,7871.46
8853,2024-01-07,346781.67,-9.68,-10.78,13305.07,11596.29
9236,2023-11-15,490142.59,5.68,6.62,885.31,11376.75
8996,2024-09-14,405961.9,9.2,9.45,7013.98,12039.2
4862,2024-03-08,291322.6,7.7,8.41,299.81,7165.8
2235,2024-08-28,69930.03,1.63,1.82,15529.02,19649.02
2448,2023-11-10,114035.63,10.46,12.18,312.83,16784.28
6655,2023-07-20,96366.8,19.89,16.66,7566.8,8072.77
5663,2023-10-19,265712.04,4.84,5.49,19380.44,18245.92
5933,2023-09-26,474726.64,-2.59,-2.63,2559.38,16458.04
1475,2023-06-29,245369.78,9.96,8.27,4747.23,10674.79
2363,2024-06-12,487594.78,-4.43,-5.09,15428.9,11876.57
8371,2023-06-30,309653.4,10.66,9.26,17834.3,18617.54
2448,2023-07-14,485235.0,13.49,12.89,19011.45,17961.16
5110,2023-05-24,478088.65,-0.82,-0.78,17465.05,10064.94
9757,2023-11-03,193718.88,2.87,3.27,15012.03,10462.05
6536,2023-02-19,443536.82,-5.47,-6.32,2203.42,6195.28
4355,2022-11-03,203480.37,-1.5,-1.63,8347.12,9167.66
7747,2024-01-20,398831.82,-1.75,-1.55,5594.31,3061.75
1763,2024-09-11,283842.03,19.43,15.98,14729.28,2762.91
1405,2024-02-02,283182.37,10.85,10.18,2312.63,18701.83
5158,2024-01-06,402901.57,14.73,12.25,7236.56,18223.13
7691,2024-07-28,362834.67,12.9,11.34,12601.23,9208.79
8975,2023-01-03,164017.82,13.69,12.45,19729.25,9424.03
3862,2024-07-17,269928.77,8.44,10.08,17567.68,15078.98
6661,2024-01-07,225468.6,-4.66,-4.62,13746.59,4198.92
9525,2023-02-16,455086.75,9.04,8.38,14375.4,3556.75
4957,2024-03-10,442665.02,9.21,9.77,5082.42,12069.9
8371,2022-12-11,193438.44,-7.3,-8.29,819.72,10682.64
6655,2024-04-17,235034.03,-8.49,-8.34,6763.48,9572.12
5318,2023-08-24,71233.51,-5.36,-6.24,15804.5,18831.31
4115,2024-09-06,499826.49,7.88,8.07,7000.2,17574.43
7172,2023-01-12,404111.79,-8.06,-8.02,708.15,11827.02
1726,2023-11-23,254898.87,-5.03,-5.75,9267.65,15344.22
7027,2023-12-10,471801.39,-0.83,-0.97,9119.18,10563.63
9525,2023-04-15,158002.71,2.56,2.25,8870.99,128.1
9031,2024-04-21,116368.47,-9.57,-11.19,16248.03,4918.22
8977,2023-07-28,128634.34,-0.58,-0.58,9948.5,11264.75
3109,2023-12-04,15804.58,11.41,11.29,12071.29,15969.02
2183,2022-10-01,333387.08,0.17,0.18,5723.52,509.46
7270,2023-03-11,130505.55,12.0,13.35,13756.44,13019.93
9353,2023-09-04,212401.59,4.16,4.11,3927.96,1225.89
5044,2024-04-19,224629.54,4.93,4.78,1207.38,11116.47
9698,2024-06-25,185165.48,-0.89,-0.87,9613.86,15296.95
7654,2024-09-01,40608.44,16.68,17.34,9904.79,15081.61
3758,2023-05-23,246737.9,-8.95,-10.68,14891.6,18553.09
1471,2023-03-28,281417.32,5.57,5.76,4630.36,10153.52
1029,2023-11-17,195344.66,-8.3,-8.68,8455.36,8973.85
7582,2024-06-20,125577.85,7.74,6.86,4560.4,19145.92
7654,2024-05-10,155399.76,-7.15,-7.29,8679.25,3106.94
8002,2024-06-13,144747.83,10.29,12.33,5555.42,7792.45
4700,2023-11-23,455195.61,12.41,13.03,6255.48,10328.44
1138,2023-08-27,304814.61,17.01,15.56,3766.37,10811.52
9031,2023-04-05,205188.38,5.08,4.64,7316.25,7986.4
9920,2024-04-11,118283.14,10.23,8.49,64.21,8796.47
7234,2022-10-27,468020.73,12.42,12.73,5142.8,4367.21
9656,2023-07-15,486340.64,19.02,19.79,17728.06,2168.13
4957,2024-01-15,402209.91,15.5,13.5,1276.0,5327.65
8661,2022-11-28,337408.93,7.92,8.66,6619.1,6459.58
9866,2023-11-24,379701.6,9.07,7.42,14238.13,3810.17
5396,2023-10-28,141757.9,3.76,3.98,4960.17,13010.61
4119,2024-01-19,421053.58,-9.93,-11.31,8476.15,17092.61
7976,2024-06-09,25151.64,6.68,6.83,19195.32,2946.87
1475,2023-08-17,84959.09,6.3,5.52,12218.63,6308.37
8996,2023-09-02,272940.67,15.6,16.26,9766.07,5935.28
2823,2023-09-28,61349.93,8.33,9.49,12779.97,2622.24
6661,2022-12-26,486921.41,18.4,18.88,19062.73,9906.08
9044,2023-04-15,429814.51,14.67,13.87,19171.37,11620.93
7172,2023-07-11,134180.97,1.87,1.56,17976.16,12044.99
7747,2023-12-23,222156.21,16.98,18.01,16499.43,10313.53
6297,2023-08-02,287323.52,5.63,4.75,13284.01,18776.16
9983,2022-12-10,101513.4,6.71,6.16,10060.8,6244.41
1784,2023-12-16,65027.72,16.18,14.08,619.5,2648.43
4355,2023-12-22,96366.59,-7.01,-6.52,11735.09,16407.43
6444,2023-09-26,479813.54,0.85,1.02,1453.99,11205.29
7976,2024-06-22,215051.71,13.33,11.13,18437.19,1204.62
6218,2022-11-11,247950.59,-9.36,-9.25,13062.74,3745.19
4948,2024-06-03,402631.47,-1.66,-1.55,5618.04,10714.61
3778,2024-08-02,140685.59,6.15,5.93,2553.31,15220.71
2131,2023-03-24,217738.27,8.67,8.06,11573.81,658.66
6590,2024-08-21,237113.09,15.23,15.67,17035.93,15118.53
9236,2024-08-06,53040.44,6.72,6.66,7908.99,1664.53
8503,2023-07-06,370161.14,5.92,5.9,9397.34,15183.46
3300,2024-07-16,279694.26,2.13,2.31,17691.67,6995.15
6263,2023-12-27,278140.13,19.37,16.79,19394.48,14401.56
5264,2024-05-20,234959.25,13.68,13.33,12068.3,4409.92
9733,2022-11-13,406519.61,17.43,16.32,1130.41,5120.64
8616,2023-08-08,497675.99,-8.16,-8.59,15171.38,577.34
7265,2023-03-13,157376.02,15.33,16.75,10202.99,13777.93
4430,2024-02-27,182167.47,-5.74,-6.75,5045.69,19870.73
5968,2024-06-24,454523.63,10.93,11.97,10256.21,12638.34
7027,2023-11-02,334153.97,7.22,8.32,14652.26,3961.07
8234,2023-02-26,403592.91,-6.33,-5.37,15895.51,8591.11
5158,2024-08-19,403459.63,-0.77,-0.82,17210.79,16592.97
3302,2024-04-22,126983.38,8.62,9.14,18981.9,12212.07
4877,2024-09-11,91506.2,16.74,18.73,16145.76,6573.38
2159,2023-10-16,38532.25,11.61,13.22,12204.68,6287.02
9236,2023-07-13,445788.95,-1.88,-2.16,3439.8,14447.87
5396,2023-09-06,131421.49,5.89,5.14,6679.26,7832.18
6416,2024-07-16,358049.8,-4.85,-4.52,2446.87,8619.28
9575,2023-11-02,257483.55,10.08,11.57,4800.91,15793.7
9920,2024-06-11,219565.3,17.84,16.58,18498.79,18333.54
7159,2024-05-25,237572.2,5.84,6.01,2092.58,11101.43
2439,2024-07-06,214806.4,5.92,5.92,8505.39,1863.88
4843,2023-10-16,489456.43,-6.8,-7.93,18197.35,5202.47
5968,2022-11-30,378660.76,-7.36,-8.67,3738.93,9698.4
5110,2022-12-23,137619.51,-3.49,-3.48,14964.13,6776.04
9236,2022-09-29,201655.06,16.63,14.2,7121.15,17541.35
6661,2023-08-08,343712.42,11.87,13.19,9528.76,7099.79
7602,2024-06-13,7869.36,-6.79,-5.43,7785.64,18458.08
3574,2023-06-15,80502.4,-3.65,-3.52,8033.76,16996.31
3900,2023-04-04,146183.36,-9.39,-8.51,13856.98,15005.19
9751,2023-05-20,287166.21,-4.23,-3.53,9558.04,7544.68
1483,2023-09-21,447441.76,16.04,13.46,1989.65,10554.9
5044,2023-11-15,101821.52,11.27,9.47,18323.52,4545.07
9866,2024-09-20,391713.76,2.53,2.94,10975.8,8237.07
3504,2024-08-30,161252.18,19.94,18.32,14240.3,14311.09
8353,2024-07-09,450473.16,-5.56,-5.19,10869.46,5459.51
6810,2024-02-01,17712.12,-1.04,-1.23,1277.32,512.9
8371,2022-12-19,215626.36,-3.71,-4.29,7236.25,8029.5
6750,2024-06-20,409608.8,2.45,2.26,12065.44,2714.41
7985,2024-02-23,396144.5,-5.99,-7.16,15829.98,3102.75
8234,2024-03-15,272170.46,10.91,9.71,6956.09,629.82
3900,2023-06-08,12199.06,5.15,5.88,11614.86,13932.77
9733,2023-05-29,412149.27,-0.78,-0.82,1761.39,3402.82
9698,2023-05-03,314453.57,11.77,13.27,3967.44,15184.64
7655,2023-04-04,436105.05,-8.98,-9.55,5807.48,10930.44
1558,2023-08-11,294503.09,8.44,7.04,12251.84,17081.2
7270,2024-04-21,434986.77,-4.34,-4.17,7074.86,8706.56
6655,2024-01-31,413743.54,-4.86,-5.74,940.22,9948.61
7602,2022-12-30,371041.9,14.05,13.45,10027.27,13648.69
4351,2024-06-05,208299.63,-4.97,-5.78,1584.87,11304.79
4700,2023-07-25,335488.24,4.59,5.16,3095.87,16295.9
4157,2024-07-24,416506.05,1.11,1.24,11876.09,16110.07
1787,2023-06-10,32388.44,-9.96,-10.17,9204.33,3587.57
2235,2023-05-23,200376.13,8.86,8.97,3117.23,9316.13
2461,2023-10-28,409779.02,15.02,15.28,12839.9,3368.26
1726,2023-09-13,312915.16,17.89,14.57,3106.28,19331.99
4948,2023-06-19,247457.1,18.21,15.49,15843.64,1201.76
9063,2023-05-11,360791.15,7.16,6.74,16374.69,3602.83
7602,2022-10-13,110220.2,16.71,17.63,16954.74,9967.24
8977,2023-12-09,204045.76,3.59,3.95,18736.19,189.39
2131,2024-06-21,472010.91,8.28,8.02,15974.64,16970.56
5541,2022-12-10,260306.61,11.15,10.57,4739.19,4072.21
3574,2022-12-22,387669.07,1.67,1.78,15315.81,6771.37
8853,2023-01-06,399262.48,12.67,11.52,12336.96,4365.02
7858,2023-12-21,124916.43,12.81,13.32,16513.57,9181.54
9525,2024-07-17,30881.53,-0.79,-0.8,2039.23,7487.03
8616,2023-07-25,382603.37,1.25,1.43,3686.75,5707.69
7691,2023-05-04,332672.9,-6.45,-6.68,8893.8,7134.23
5264,2023-11-12,347104.15,16.97,19.69,10623.28,13504.24
2697,2024-04-11,473575.33,6.11,5.73,1636.14,19369.78
9525,2024-05-26,467454.27,-3.08,-3.5,11562.0,1309.64
2363,2023-12-31,139619.4,2.41,2.49,6922.32,17911.2
3877,2023-04-05,193875.09,-0.5,-0.46,820.55,17925.78
1475,2023-03-15,462122.14,19.11,17.16,19214.47,15897.75
5158,2022-11-03,110441.83,14.05,14.45,8962.29,9179.68
2363,2022-12-02,154053.26,-2.32,-2.1,16093.39,9509.79
9900,2022-11-21,228167.31,14.7,16.29,1189.71,19824.14
2582,2022-11-23,301906.73,-0.89,-1.06,11803.62,3054.94
4321,2023-02-07,390456.62,1.54,1.74,10282.93,5529.36
6810,2023-04-27,119325.77,-7.96,-7.73,1030.96,18888.67
5559,2024-01-01,197640.82,-3.93,-4.16,6477.98,3488.6
3258,2023-11-14,52237.0,12.4,10.76,14480.49,1638.98
9983,2024-01-10,69073.57,-3.53,-3.4,15713.61,5752.14
7027,2023-03-13,427944.82,16.72,13.77,11472.22,18084.99
1719,2023-06-17,498900.52,19.43,15.91,8982.29,17190.37
2461,2024-06-17,83110.21,3.47,3.81,16658.89,456.01
9983,2024-08-20,225633.26,9.82,9.06,6798.81,15937.69
4716,2024-01-13,424795.07,-1.31,-1.37,19049.29,4731.17
3120,2023-11-23,371406.88,1.57,1.62,7359.97,11638.97
2598,2023-07-03,139680.28,7.33,7.38,14007.81,19072.15
7691,2024-08-31,24159.04,15.45,12.6,18414.89,17583.3
6240,2023-08-02,6865.26,7.28,8.54,4099.54,15618.06
9063,2023-07-21,44007.25,-1.03,-1.16,2385.44,6224.74
8907,2024-03-10,11784.06,13.83,15.8,18037.24,3403.09
9566,2023-01-22,276507.1,18.46,14.84,4415.74,7819.29
8503,2023-01-21,390456.26,19.71,23.24,12782.85,5122.19
7691,2023-05-21,177047.06,5.55,4.64,18620.09,12067.04
7747,2023-09-06,392704.26,19.14,22.92,15568.96,10457.89
7654,2023-02-20,454134.65,3.75,3.81,9170.06,848.75
4566,2023-11-03,175752.14,4.51,4.03,14440.82,14184.87
7655,2023-06-01,240801.46,5.45,5.87,15316.7,7840.44
5108,2022-11-13,446295.1,-0.68,-0.67,12688.62,16072.04
1410,2023-01-22,81402.0,-7.65,-8.63,10214.16,14009.41
5431,2024-08-14,164172.61,13.39,12.46,14285.8,2311.3
8550,2024-01-16,232316.65,11.11,9.19,16665.25,11706.87
2823,2023-02-06,326484.21,-0.08,-0.06,6260.45,16278.11
6297,2024-07-13,460532.2,15.18,13.86,14190.35,6060.61
4957,2023-05-15,409315.57,-4.65,-5.33,12146.2,19174.62
5933,2023-08-21,103651.08,-3.43,-4.01,2039.89,2716.63
9757,2024-09-25,342359.7,5.61,6.59,12743.44,14718.77
4351,2024-06-28,117113.37,-6.16,-7.38,2034.69,8986.37
1069,2023-08-01,111426.95,6.36,5.33,12771.5,2338.96
1558,2023-01-13,421343.7,-1.52,-1.71,11653.24,8451.93
3900,2023-01-29,393471.07,0.26,0.3,3755.52,15957.37
9566,2022-12-10,285611.56,0.76,0.71,7223.87,538.31
8616,2023-01-06,83155.89,6.4,7.41,10313.77,3486.53
7027,2023-07-10,454585.19,12.61,10.31,18224.11,12728.92
2582,2024-06-16,70553.36,-8.19,-8.82,12368.61,10628.17
5136,2023-04-28,26842.68,1.37,1.16,12381.69,5822.19
4355,2024-01-30,496382.72,2.87,3.2,19791.38,12835.69
6416,2024-04-12,206442.59,-4.44,-4.36,14226.2,8710.03
9427,2023-08-28,276995.47,10.27,10.04,15796.39,14374.2
9015,2023-03-26,430642.57,-6.06,-5.75,10836.82,4289.21
5007,2024-01-11,390662.52,-5.65,-6.1,5950.5,14717.46
1471,2023-05-19,202707.26,7.74,8.25,13882.2,17300.91
1405,2022-11-24,78146.43,-4.09,-4.41,18330.87,19526.78
3877,2022-11-08,434127.45,18.5,17.47,1159.57,2255.76
9044,2024-01-03,293003.69,14.49,11.95,19052.85,9188.71
6218,2024-04-27,127753.01,16.89,18.8,4863.69,18574.2
4993,2023-11-07,338628.5,-3.85,-4.57,2920.59,7296.92
4843,2023-08-22,225353.49,-6.59,-6.24,17769.6,1496.84
5646,2024-04-24,464279.77,0.95,0.78,2852.99,11186.7
5396,2023-10-13,311836.91,13.44,14.6,562.53,15184.6
1787,2023-10-21,468774.62,14.44,13.74,5147.8,14448.36
1405,2023-02-05,439508.37,-6.62,-7.3,17696.39,17124.9
7234,2023-07-08,467935.28,-4.92,-4.18,14923.51,6214.29
2678,2023-12-17,178956.23,14.67,14.03,7420.24,1908.91
4716,2024-06-20,258027.04,13.94,13.05,13624.75,2947.9
5264,2023-08-15,93902.21,-9.42,-8.4,12820.38,15606.82
2142,2024-09-05,250405.96,11.31,11.11,10404.94,1638.16
5227,2023-07-05,351978.49,-4.06,-4.49,6462.25,18624.25
8280,2023-05-02,126050.45,-8.28,-9.39,715.25,12549.86
2461,2024-07-12,360006.32,1.24,1.39,4189.09,5086.55
5227,2023-11-01,6636.66,1.3,1.42,1180.17,12463.88
6655,2024-04-13,149518.93,6.9,7.34,13837.2,3293.87
8907,2023-03-28,29891.19,10.35,9.92,7239.27,967.26
4700,2023-01-31,304727.26,15.45,14.09,5593.29,8925.54
2678,2023-02-22,22606.13,8.07,6.52,7304.73,542.96
3574,2024-09-14,59516.12,11.51,13.24,17267.06,18568.98
8907,2023-09-03,386524.27,-3.1,-3.68,11704.56,18927.48
6070,2024-04-06,306854.64,17.79,14.39,16115.31,6442.74
4119,2024-05-03,491199.51,-2.73,-2.61,15359.29,10644.88
1666,2024-05-25,199253.15,17.36,14.92,14556.73,2625.0
1858,2023-04-29,457683.24,-8.14,-9.2,16816.3,2228.41
4115,2023-07-01,465128.5,15.66,17.52,14902.07,10214.1
9733,2023-09-16,309101.95,14.84,16.62,18761.28,397.41
2253,2022-10-14,283168.85,9.31,8.33,1320.07,19294.93
3300,2023-09-12,418500.05,15.89,12.9,10503.44,13212.66
7172,2023-10-16,376192.33,14.16,16.6,18036.84,5815.24
7265,2023-06-13,42287.91,19.99,23.03,1783.69,6902.45
9730,2024-05-20,310748.14,16.02,18.98,19205.99,14600.58
3300,2022-11-16,201706.33,-4.13,-3.72,5328.85,8670.5
5396,2023-07-13,418364.67,19.62,17.4,17138.56,489.08
2382,2023-06-25,398256.19,11.67,11.16,19636.96,5375.78
5264,2022-12-05,275684.96,12.22,13.24,1738.76,1790.26
1029,2022-12-06,412058.66,-7.12,-6.66,11385.13,10307.01
3938,2024-09-11,329480.28,-9.55,-9.77,2950.66,9965.3
9063,2024-08-20,462547.43,18.44,18.87,10723.93,9092.7
1726,2022-12-16,410546.3,-1.68,-1.37,3269.59,9983.1
7948,2023-12-29,46791.81,3.46,3.43,10151.54,6335.04
6369,2023-03-23,335410.48,14.99,12.43,16528.58,16173.87
6240,2024-03-06,241133.28,-8.82,-8.39,3939.23,17866.3
6416,2022-10-29,451211.91,-9.97,-11.7,1878.11,1937.1
5646,2024-05-09,102408.67,-6.2,-6.83,16869.85,1503.87
5646,2023-10-30,164326.79,1.92,1.96,19055.82,13035.2
4321,2023-08-30,389440.45,18.07,20.56,12491.36,12809.11
2525,2023-12-29,276772.59,-2.34,-2.22,4787.78,19621.42
8907,2023-11-05,381959.45,9.96,9.65,4611.5,17430.11
1483,2023-05-20,292422.48,9.74,10.01,1266.87,1176.51
1932,2024-08-13,201299.55,4.75,5.46,398.65,6323.46
2525,2023-12-27,231062.0,13.13,10.55,13778.98,13858.15
6263,2024-04-12,402180.78,10.27,8.98,19510.07,17344.12
1787,2022-12-10,331032.45,-2.76,-2.21,6518.8,13488.5
3725,2023-08-31,427061.35,15.18,15.26,3731.53,7107.91
4355,2023-08-31,59617.65,-1.8,-1.45,19269.43,14659.21
3258,2023-04-11,217919.98,-4.55,-5.24,14815.84,2872.32
8503,2024-02-22,123329.57,16.15,18.09,4522.67,16786.15
6263,2024-08-01,140809.78,17.44,16.01,611.1,19332.37
8356,2024-04-25,489422.91,17.63,20.05,10222.05,10724.54
2159,2023-08-05,127124.92,1.18,1.09,17710.84,3830.1
2678,2024-09-22,86297.03,7.35,7.23,1743.8,573.91
3617,2024-06-08,57432.17,14.35,14.48,17145.17,3158.39
6750,2024-09-13,467683.66,3.61,3.43,17407.55,15851.48
1932,2024-03-14,339520.61,14.27,12.92,1802.38,15450.94
1858,2024-07-24,66713.84,12.65,12.5,10014.63,8319.04
2183,2023-06-27,55675.17,-1.7,-1.73,13653.09,7482.8
