transaction_id,portfolio_id,transaction_type,transaction_date,asset_type,asset_name,units,transaction_price,total_amount
8162448,4115,Buy,2023-09-23,Bond,Booth-Tucker Bond,20.53,867.75,17814.91
9728913,7634,Sell,2023-09-24,Mutual Fund,Beck-Smith Mutual Fund,85.26,774.52,66035.58
2283707,2079,Sell,2023-02-17,Mutual Fund,Washington Ltd Real Estate,38.62,963.15,37196.85
2878863,1483,Buy,2024-06-18,Bond,Lyons Inc Stock,6.56,351.47,2305.64
8562930,1719,Buy,2023-01-22,Mutual Fund,Hall-Long Stock,83.41,220.7,18408.59
9121514,5792,Sell,2022-10-15,Mutual Fund,"Clark, Le and Smith Real Estate",36.76,855.48,31447.44
3838562,3504,Buy,2023-07-16,Mutual Fund,Gallagher-Hall Stock,51.01,572.25,29190.47
5480034,8368,Sell,2024-01-07,Bond,Odonnell-Hawkins Mutual Fund,61.24,219.12,13418.91
7159390,2142,Buy,2022-10-01,Stock,Hopkins-Rojas Mutual Fund,86.33,859.47,74198.05
8630058,3504,Sell,2022-11-19,Stock,Evans-Robertson Bond,4.65,184.94,859.97
9544624,3109,Dividend,2024-07-04,Bond,"Dixon, King and Nunez Real Estate",94.44,287.16,27119.39
2176985,8355,Sell,2024-01-17,Bond,Randall-White Bond,34.88,135.56,4728.33
2940433,3302,Dividend,2024-04-05,Stock,Jensen-Johnson Mutual Fund,95.47,849.45,81096.99
6485993,1029,Dividend,2022-11-10,Mutual Fund,Baker Ltd Real Estate,36.19,672.08,24322.58
3488070,5136,Dividend,2024-08-21,Mutual Fund,Fitzgerald PLC Bond,18.19,184.18,3350.23
9237299,9525,Buy,2024-04-09,Real Estate,Flores Group Mutual Fund,52.29,476.15,24897.88
4416016,8355,Dividend,2022-12-17,Real Estate,"Hernandez, Valdez and Foley Stock",45.08,205.36,9257.63
8280122,3862,Dividend,2023-08-19,Mutual Fund,Greene Inc Mutual Fund,46.43,913.96,42435.16
7961989,9983,Buy,2024-08-12,Real Estate,Murphy PLC Mutual Fund,37.93,193.29,7331.49
8571456,4119,Buy,2023-12-24,Mutual Fund,Aguirre Ltd Bond,13.29,351.64,4673.3
9930588,5390,Buy,2024-04-28,Stock,"Mccoy, Hill and Norman Bond",95.28,379.86,36193.06
6350633,5007,Buy,2023-10-25,Bond,"Thompson, Richards and Hale Stock",78.3,279.43,21879.37
8609667,2142,Buy,2023-11-16,Mutual Fund,"Perez, Walton and Schmidt Bond",79.26,220.72,17494.27
2490586,7983,Dividend,2022-10-31,Bond,"Stone, Thompson and Miller Stock",6.33,423.01,2677.65
3029914,4877,Buy,2023-08-20,Mutual Fund,"Bates, Morris and Thomas Real Estate",94.22,659.47,62135.26
7841150,2823,Buy,2024-07-17,Real Estate,"Evans, Zuniga and Stafford Stock",19.93,809.79,16139.11
2563028,7582,Dividend,2023-05-21,Mutual Fund,Garza-Gomez Stock,72.03,137.9,9932.94
1953029,3120,Dividend,2024-02-29,Real Estate,Bishop-Li Real Estate,80.66,375.08,30253.95
7482493,5968,Buy,2023-08-26,Mutual Fund,Price Ltd Real Estate,2.18,176.16,384.03
9492556,9698,Buy,2023-11-01,Real Estate,Burton and Sons Bond,59.11,886.44,52397.47
4598748,6810,Dividend,2023-11-19,Bond,Wells LLC Mutual Fund,63.8,734.4,46854.72
9912307,1558,Sell,2024-09-18,Bond,"Kramer, Ferguson and Pena Stock",45.21,657.56,29728.29
6140571,1138,Buy,2024-04-26,Real Estate,Martin-Jimenez Bond,47.65,355.94,16960.54
7269800,5792,Dividend,2023-10-09,Real Estate,Barry-Coleman Mutual Fund,46.26,523.61,24222.2
4366352,3120,Dividend,2023-11-21,Bond,Frazier-Williams Mutual Fund,58.99,418.29,24674.93
2636838,1763,Dividend,2022-10-31,Real Estate,Brown Inc Bond,3.38,75.68,255.8
3045718,3120,Buy,2022-11-18,Mutual Fund,Davis-Nielsen Bond,41.71,913.04,38082.9
3942839,4877,Dividend,2023-11-01,Real Estate,Barnes and Sons Bond,3.36,316.53,1063.54
8493194,8002,Buy,2023-09-05,Real Estate,"Hall, Campbell and Hall Real Estate",92.55,342.4,31689.12
8144115,8156,Sell,2024-08-26,Real Estate,Adams Group Stock,15.97,977.67,15613.39
8539061,1784,Dividend,2023-11-24,Real Estate,Smith-Washington Stock,49.71,889.7,44226.99
8237710,3558,Sell,2023-12-23,Real Estate,"Berger, Fernandez and Bishop Real Estate",97.12,788.75,76603.4
2390565,3778,Sell,2024-08-09,Mutual Fund,"Johnson, Flores and James Stock",43.74,303.52,13275.96
8587272,2363,Buy,2023-04-21,Stock,Jones-Fletcher Stock,40.46,290.46,11752.01
6269209,7159,Buy,2023-06-02,Stock,Johnson-Hughes Real Estate,80.63,389.99,31444.89
7124416,1787,Buy,2023-09-17,Mutual Fund,Matthews-Tran Mutual Fund,49.15,617.79,30364.38
6875531,4705,Sell,2023-12-05,Mutual Fund,Young-Holden Mutual Fund,92.15,336.12,30973.46
3869495,9900,Dividend,2024-09-05,Mutual Fund,"Lucero, Miller and Herrera Bond",51.47,145.81,7504.84
6557937,3862,Dividend,2024-08-20,Real Estate,Lawson PLC Mutual Fund,66.65,890.02,59319.83
8371844,4700,Dividend,2024-03-24,Bond,"Long, Johnson and Mckee Bond",79.73,780.42,62222.89
9579303,8234,Buy,2024-06-02,Stock,"Evans, Zuniga and Stafford Stock",55.65,540.29,30067.14
7453722,4566,Dividend,2023-10-01,Stock,"Mitchell, Lutz and Hull Stock",57.1,449.24,25651.6
5354926,8368,Dividend,2023-08-14,Stock,Blake-Shepard Bond,6.34,413.62,2622.35
2142587,8355,Dividend,2023-08-30,Stock,Henson-Ramirez Bond,84.76,499.7,42354.57
7519768,5158,Sell,2024-05-12,Mutual Fund,Carpenter PLC Stock,50.31,693.89,34909.61
9831751,1763,Dividend,2023-08-27,Real Estate,Larsen-Perry Real Estate,13.79,146.66,2022.44
4156708,2183,Dividend,2023-09-02,Stock,Smith-Washington Stock,82.67,708.27,58552.68
6840531,9834,Dividend,2023-02-28,Bond,Best Group Stock,33.36,91.39,3048.77
5604354,8356,Sell,2023-02-05,Stock,Navarro Inc Stock,42.32,128.83,5452.09
9443477,6070,Sell,2023-01-03,Real Estate,"Wilson, White and Austin Mutual Fund",31.15,366.09,11403.7
6243684,8661,Buy,2024-06-02,Stock,Vazquez-Herrera Real Estate,33.32,564.44,18807.14
8237955,7747,Buy,2024-02-14,Mutual Fund,"Torres, Wagner and Middleton Mutual Fund",99.43,604.21,60076.6
9987510,7634,Dividend,2023-10-09,Stock,Moore PLC Real Estate,69.84,929.1,64888.34
9723034,9116,Dividend,2024-01-20,Bond,French-Garrison Mutual Fund,52.92,517.98,27411.5
2672545,2448,Dividend,2023-10-22,Stock,Browning-Young Bond,77.35,770.14,59570.33
2889206,8661,Sell,2023-04-22,Mutual Fund,"Evans, Zuniga and Stafford Stock",56.74,841.79,47763.16
2752267,6937,Sell,2024-02-18,Bond,Chapman-Campbell Mutual Fund,52.06,841.64,43815.78
6036746,7234,Dividend,2024-03-03,Stock,Jefferson Ltd Stock,80.06,632.87,50667.57
1506619,1471,Buy,2023-12-22,Bond,"Shaw, Foster and Matthews Real Estate",3.64,405.03,1474.31
5222489,3938,Sell,2023-11-09,Mutual Fund,"Williams, Morris and Murphy Stock",44.43,315.43,14014.55
5814925,1858,Buy,2023-11-20,Stock,Bass-Harper Real Estate,27.41,152.74,4186.6
6776364,6906,Dividend,2024-02-11,Real Estate,Browning-Wagner Real Estate,57.47,769.47,44221.44
9891697,1726,Buy,2024-02-18,Stock,Lynch Ltd Bond,21.17,946.33,20033.81
6266576,2344,Buy,2023-04-02,Mutual Fund,"Anderson, Marsh and Cline Real Estate",27.27,623.63,17006.39
8869884,5227,Buy,2023-04-01,Stock,Blanchard-Maynard Bond,42.39,877.43,37194.26
7532086,9757,Dividend,2024-06-02,Real Estate,"Day, Hall and Walsh Real Estate",53.26,669.78,35672.48
1232962,6661,Sell,2024-08-18,Mutual Fund,Davis Ltd Stock,33.44,462.7,15472.69
7702553,9900,Sell,2024-02-11,Bond,Carter PLC Real Estate,33.45,421.25,14090.81
2550188,3900,Dividend,2023-07-02,Real Estate,Gallagher LLC Real Estate,48.44,767.01,37153.96
8373163,6263,Dividend,2024-09-15,Real Estate,Myers Group Mutual Fund,15.93,751.09,11964.86
1331889,9566,Sell,2023-07-22,Real Estate,"Jimenez, Pitts and Taylor Stock",65.54,706.92,46331.54
1373023,2598,Buy,2023-04-23,Stock,Smith PLC Real Estate,62.19,762.28,47406.19
4097288,8550,Dividend,2023-08-28,Real Estate,"Arnold, Davis and Lopez Bond",84.98,156.07,13262.83
9210440,2823,Buy,2024-09-07,Mutual Fund,"Macias, Baxter and Munoz Stock",49.27,107.15,5279.28
6814940,4321,Dividend,2023-05-27,Stock,Hall Group Stock,15.77,207.58,3273.54
1157627,4430,Dividend,2024-08-01,Real Estate,"Myers, Hawkins and Perkins Bond",63.87,208.05,13288.15
7641063,6444,Dividend,2024-06-11,Stock,"Hughes, Fernandez and Hart Mutual Fund",45.13,455.89,20574.32
4760144,7747,Sell,2024-04-11,Mutual Fund,Baker Inc Bond,38.55,437.19,16853.67
1960245,8907,Buy,2023-07-08,Mutual Fund,Jones Group Mutual Fund,64.85,585.68,37981.35
1926354,5390,Sell,2023-10-24,Stock,Bryant-Charles Real Estate,34.38,61.43,2111.96
2640537,7985,Buy,2024-08-17,Real Estate,Smith-Gonzalez Mutual Fund,88.82,230.99,20516.53
2242080,5264,Sell,2024-05-17,Bond,"Nelson, Black and Anderson Mutual Fund",66.11,607.31,40149.26
8958820,4321,Dividend,2023-10-28,Bond,"Hughes, Gilbert and Richmond Real Estate",42.54,764.63,32527.36
7789388,7071,Dividend,2023-08-22,Stock,Wright Ltd Bond,7.7,210.69,1622.31
1540351,7581,Buy,2023-07-21,Stock,"Harris, Camacho and Rodriguez Stock",40.96,164.0,6717.44
1420757,5968,Dividend,2022-11-06,Mutual Fund,"Johnson, Tran and Parker Real Estate",28.71,529.36,15197.93
6417911,6444,Dividend,2023-07-17,Bond,Reed-Hale Real Estate,28.44,66.95,1904.06
3244650,1719,Sell,2024-03-23,Bond,Ibarra-Miranda Bond,86.18,750.97,64718.59
3798802,9730,Sell,2023-05-06,Stock,Smith-Stevenson Mutual Fund,69.61,540.72,37639.52
4843314,2142,Sell,2022-09-29,Real Estate,"Holmes, Wyatt and Keller Mutual Fund",40.12,288.73,11583.85
1424661,2363,Sell,2022-09-29,Real Estate,"Hughes, Hebert and Foster Stock",84.88,386.57,32812.06
2105539,2131,Dividend,2023-12-26,Real Estate,Marshall-Shepard Mutual Fund,55.25,127.92,7067.58
7454799,9983,Buy,2024-04-26,Mutual Fund,Gomez-Delgado Mutual Fund,71.38,890.49,63563.18
2357738,7983,Dividend,2023-12-27,Real Estate,Moreno-Duffy Real Estate,4.94,847.67,4187.49
6732086,2235,Buy,2023-12-29,Mutual Fund,Santiago PLC Real Estate,74.81,628.02,46982.18
1423413,2079,Sell,2023-05-26,Stock,Howell and Sons Stock,23.27,969.46,22559.33
4278644,9757,Buy,2023-08-07,Bond,Bryant-Charles Real Estate,63.52,677.13,43011.3
9814189,2055,Sell,2024-02-22,Stock,"Adams, Brown and Hunt Mutual Fund",33.8,606.84,20511.19
3121877,9153,Buy,2024-05-29,Mutual Fund,Smith-Lopez Bond,92.87,493.05,45789.55
5790695,8907,Sell,2023-11-03,Stock,"Kramer, Ferguson and Pena Stock",41.17,409.87,16874.35
2615136,9353,Buy,2023-09-15,Bond,Bryant-Silva Bond,33.38,442.5,14770.65
4781366,9525,Sell,2024-04-26,Stock,Khan Inc Bond,1.14,717.79,818.28
3985609,3877,Sell,2023-05-05,Stock,Kirk-Walsh Real Estate,3.47,836.16,2901.48
1216249,2363,Sell,2024-01-14,Real Estate,Johnson-Holmes Stock,31.16,921.0,28698.36
1783745,9525,Buy,2022-12-24,Stock,"Adkins, Munoz and Sims Stock",74.73,116.66,8718.0
4381158,5108,Buy,2023-11-27,Bond,"Sanchez, Gardner and Ramirez Stock",87.73,139.25,12216.4
4474420,5390,Buy,2024-05-21,Mutual Fund,Anderson-Wood Mutual Fund,81.3,214.52,17440.48
5721534,2344,Buy,2024-06-25,Real Estate,Murray-Callahan Stock,26.31,119.47,3143.26
3704735,2439,Dividend,2023-09-24,Stock,Peters-Winters Mutual Fund,29.62,570.36,16894.06
6327879,7756,Dividend,2024-08-14,Stock,Stewart LLC Bond,86.46,909.91,78670.82
5191193,3112,Sell,2023-10-04,Stock,"Velez, Dougherty and Fox Mutual Fund",40.94,669.38,27404.42
7129102,8907,Buy,2023-07-07,Stock,"Williams, Baker and Byrd Mutual Fund",50.37,408.93,20597.8
6461545,5227,Dividend,2023-09-16,Stock,Conley Group Real Estate,1.27,671.16,852.37
3669794,7976,Sell,2023-06-30,Stock,Klein-Nolan Real Estate,78.25,586.11,45863.11
4039585,9900,Buy,2023-08-25,Stock,Smith-Jordan Mutual Fund,64.75,847.18,54854.9
2779227,3109,Buy,2024-09-15,Stock,Robbins Ltd Bond,49.44,849.49,41998.79
6538837,3725,Dividend,2024-02-27,Real Estate,Walker Ltd Real Estate,72.87,234.1,17058.87
6595066,7159,Buy,2023-12-16,Real Estate,Miller Ltd Mutual Fund,43.92,532.6,23391.79
9165374,2079,Buy,2023-07-13,Real Estate,Evans Inc Stock,82.1,695.22,57077.56
6087123,2582,Sell,2023-04-19,Stock,"Wright, Payne and Stone Stock",40.07,192.9,7729.5
7268703,4355,Dividend,2024-02-27,Real Estate,Blanchard-Maynard Bond,89.06,764.73,68106.85
2103034,2344,Dividend,2022-11-13,Stock,"Mccoy, Hill and Norman Bond",72.37,665.99,48197.7
7877733,3938,Sell,2023-03-10,Mutual Fund,Miller LLC Stock,31.72,667.93,21186.74
6191698,4321,Sell,2023-03-03,Stock,Johnson Ltd Bond,99.47,951.39,94634.76
3471200,9733,Buy,2022-09-28,Bond,"Shaw, Brown and Adams Real Estate",38.25,801.84,30670.38
8948365,5968,Buy,2024-03-30,Stock,"Hebert, Cordova and Blake Real Estate",41.6,660.38,27471.81
9540873,7258,Dividend,2023-07-08,Stock,Baxter-Hatfield Mutual Fund,95.57,420.95,40230.19
8303485,4115,Sell,2022-12-31,Mutual Fund,Larsen-Perry Real Estate,49.9,194.25,9693.07
9859198,8353,Dividend,2022-12-21,Bond,Fisher Ltd Stock,29.67,731.62,21707.17
6049868,2461,Dividend,2023-07-13,Real Estate,"Richardson, Stewart and Jones Mutual Fund",44.83,570.98,25597.03
2879300,1787,Dividend,2023-08-23,Stock,Melendez-Griffin Mutual Fund,67.01,848.67,56869.38
5571371,3574,Sell,2023-10-03,Real Estate,"Stevens, Santiago and Horton Bond",47.65,971.68,46300.55
5498213,2363,Buy,2023-06-03,Real Estate,Stewart LLC Bond,42.84,669.39,28676.67
9483166,7948,Dividend,2024-02-12,Bond,Morales PLC Bond,6.32,224.39,1418.14
9645773,5646,Dividend,2023-05-07,Stock,Miller-Chase Mutual Fund,20.29,839.76,17038.73
3017538,9733,Sell,2023-01-20,Mutual Fund,"Young, Hull and Acosta Bond",2.7,388.74,1049.6
8384175,2142,Dividend,2023-12-27,Real Estate,"Garcia, Moon and Turner Mutual Fund",33.1,477.46,15803.93
5659374,2150,Sell,2023-05-11,Stock,Short LLC Mutual Fund,72.68,613.32,44576.1
9485706,5541,Dividend,2024-03-08,Stock,"Miller, Stewart and Simpson Real Estate",82.59,798.1,65915.08
2695748,3193,Sell,2023-02-27,Bond,Allen Inc Mutual Fund,37.18,503.9,18735.0
4849633,3900,Buy,2022-10-25,Bond,Myers-Bell Stock,1.68,793.95,1333.84
1972249,3109,Buy,2023-08-11,Stock,Stone-David Stock,19.31,765.08,14773.69
4306074,7948,Buy,2023-07-12,Mutual Fund,Hinton-Jones Mutual Fund,71.28,466.62,33260.67
9603894,8002,Dividend,2024-06-03,Stock,"Hernandez, Ramos and Green Bond",51.06,923.78,47168.21
8160605,6661,Sell,2024-04-22,Mutual Fund,Greene Inc Mutual Fund,56.88,588.97,33500.61
2578673,2678,Buy,2023-08-05,Real Estate,Boone Inc Mutual Fund,50.92,711.87,36248.42
7781946,2159,Dividend,2023-12-02,Bond,"Hall, Williams and Thomas Stock",7.48,514.49,3848.39
6766384,2598,Sell,2022-09-30,Real Estate,Baker and Sons Bond,76.31,109.15,8329.24
2782688,7049,Dividend,2023-02-08,Mutual Fund,Combs-Dunn Mutual Fund,97.22,584.63,56837.73
9608487,3112,Sell,2023-12-21,Real Estate,"Owens, Roberts and Hughes Bond",86.74,525.67,45596.62
2560392,1719,Buy,2023-10-15,Real Estate,Roberts Ltd Real Estate,36.91,962.36,35520.71
3494555,1269,Sell,2023-08-03,Mutual Fund,Cobb-Hughes Stock,67.89,354.95,24097.56
3234778,8582,Dividend,2024-03-07,Mutual Fund,"Velez, Cummings and Callahan Bond",70.72,638.52,45156.13
9475279,1666,Dividend,2024-03-02,Bond,Peck PLC Bond,97.99,436.29,42752.06
4759288,3302,Sell,2024-09-22,Stock,Miller-Chase Mutual Fund,70.37,180.08,12672.23
2307388,3778,Dividend,2023-12-15,Bond,Lawrence-Green Stock,68.69,679.41,46668.67
4479376,8371,Buy,2024-07-23,Mutual Fund,Wu-Mccoy Real Estate,99.85,53.48,5339.98
1476856,2525,Sell,2022-10-15,Stock,"Davidson, Murphy and Johnson Real Estate",30.25,191.48,5792.27
4174257,8280,Buy,2024-06-12,Stock,Mosley-Wood Stock,11.51,768.99,8851.07
2967729,4321,Sell,2024-04-03,Mutual Fund,"Houston, Meadows and Hurst Stock",12.77,702.5,8970.92
5201128,9236,Buy,2023-07-15,Bond,Davis-Nielsen Bond,68.27,445.56,30418.38
4285437,8582,Dividend,2023-04-26,Mutual Fund,Nguyen-Taylor Stock,29.88,285.58,8533.13
8747301,8853,Dividend,2023-09-17,Stock,Miller LLC Stock,41.82,397.08,16605.89
3868970,2720,Dividend,2023-05-27,Bond,Dawson LLC Mutual Fund,2.3,491.88,1131.32
7693077,1932,Dividend,2023-03-13,Stock,Martin Ltd Mutual Fund,89.81,907.69,81519.64
1294271,7691,Dividend,2023-04-10,Real Estate,"Hernandez, Ramos and Green Bond",26.86,263.72,7083.52
9931318,2696,Dividend,2023-12-04,Stock,Estes PLC Bond,42.23,793.93,33527.66
9262543,5646,Dividend,2023-05-17,Mutual Fund,King Inc Real Estate,94.0,274.26,25780.44
7994116,7046,Sell,2023-11-22,Real Estate,Wheeler-Anderson Bond,31.1,114.47,3560.02
2864547,4390,Buy,2022-11-04,Stock,Wilson LLC Bond,77.37,444.67,34404.12
2550111,4119,Sell,2024-09-16,Bond,Gallagher-Harmon Stock,5.95,586.88,3491.94
1350014,2235,Sell,2023-06-03,Real Estate,Pena LLC Real Estate,8.9,874.78,7785.54
6415226,8069,Dividend,2022-10-23,Stock,Price Ltd Real Estate,92.44,916.34,84706.47
1163285,6536,Dividend,2023-04-26,Stock,"Palmer, Sanders and Brewer Mutual Fund",94.55,694.8,65693.34
8628841,8853,Buy,2023-07-11,Stock,Jackson Group Bond,81.23,415.66,33764.06
7645486,6263,Sell,2024-05-16,Bond,Rhodes LLC Bond,64.69,497.29,32169.69
3901233,5007,Buy,2023-06-13,Bond,"Anderson, Marsh and Cline Real Estate",83.83,622.61,52193.4
5193884,1475,Dividend,2024-07-10,Mutual Fund,Peterson-Perkins Mutual Fund,90.89,469.01,42628.32
2811094,1770,Buy,2024-03-15,Bond,"Townsend, York and Rodriguez Real Estate",54.29,820.15,44525.94
1031056,7602,Sell,2024-01-04,Bond,"Jones, Brown and Flores Real Estate",71.3,713.04,50839.75
1688470,6906,Dividend,2023-05-14,Mutual Fund,"Shaw, Brown and Adams Real Estate",16.78,644.14,10808.67
1783190,7654,Buy,2024-06-30,Bond,Bryant-Dodson Stock,30.9,83.78,2588.8
1984684,1858,Sell,2023-11-20,Bond,"Shaw, Foster and Matthews Real Estate",90.28,188.55,17022.29
